TARGID,MAG_R,MAG_G,SNR,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,D_along_2D,D_fil_2D,is_member_2D
A2142-4147,19.2413,20.1299,7.62812614440918,239.4979537,26.7612343,239.498,26.7613,3.0,0.0867979,2.1806157219255975,5.919224546705226,True,95,0.8018825338186555,0.6801753453481845,1.0792733690951548,5.568399978837053,0.6801753453481845,1.0792733690951548,2.229956053896121,1.2370478550064277,False
A2142-7622,18.0551,19.0474,18.60007667541504,239.9550985,26.0799308,239.955,26.0799,3.0,0.0912373,6.002834676378437,7.035097207224125,False,107,0.9305292959629412,0.6812344871079112,1.993690578865932,11.290817473846351,0.6812344871079112,1.993690578865932,5.845536332805027,0.9803087234386029,False
A2142-6138,19.7008,20.5979,6.441014289855957,239.3057901,26.0752398,239.306,26.0753,3.0,0.0940135,4.9270972696948565,15.381609157999366,False,109,1.186339461328232,0.8616694966003093,3.044819421398298,11.4148617615584,0.8616694966003093,3.044819421398298,4.659086638738863,3.3594336825300175,False
A2142-7243,19.3308,19.5244,8.131629943847656,239.3383497,26.3352846,239.338,26.3353,3.0,0.0921321,3.7987607972171595,9.971769553283785,False,131,6.902250320965856,4.641387722541876,1.2969208833412695,12.22571834744912,4.641387722541876,1.2969208833412695,3.6639957861050054,2.7005382613363413,False
A2142-7166,19.7581,20.3955,5.333491325378418,239.3156116,26.5028903,239.316,26.5029,2.0,0.0849637,2.8164304179727693,11.352635431534619,False,133,6.525228829126751,3.334039012681252,1.490275216548203,11.499447708996192,3.334039012681252,1.490275216548203,2.9411776253624806,2.4350651780658406,False
A2142-1156,19.1415,19.8631,6.66581916809082,239.2889821,26.3146407,239.289,26.3147,3.0,0.0885146,3.644364047718801,3.039468858271268,True,135,1.21395365311556,0.8395680268570445,1.12837890802734,12.286633029581996,0.8395680268570445,1.12837890802734,3.6558906502741118,2.9230873476295716,False
A2142-1161,17.8233,18.8642,21.77425765991211,239.3418792,26.3057251,239.342,26.3057,3.0,0.0848579,3.625375855870704,11.728416550344699,False,143,6.540887591126921,2.953876243110333,1.5385453369846207,11.573451614059026,2.953876243110333,1.5385453369846207,3.790587791184251,2.7490857906652297,False
A2142-1425,19.3455,20.1253,6.824147701263428,239.7069283,26.0489288,239.707,26.049,3.0,0.0885769,5.498712284178377,2.069533446354339,True,146,6.336523036956535,2.929417271230399,1.3560751837587866,12.02046304861561,2.929417271230399,1.3560751837587866,5.512297932991228,1.9500809037140385,False
A2142-7236,18.413,19.3613,15.905747413635254,239.416542,26.2828422,239.417,26.2828,2.0,0.0843037,3.822437395046083,13.2526183891179,False,147,5.8243728505519154,3.401261589667971,1.9386478277664436,11.6968005812177,3.401261589667971,1.9386478277664436,4.022425400066627,2.5247415282161367,False
A2142-7723,18.0283,19.0205,17.306434631347656,240.1476628,26.0635514,240.148,26.0635,2.0,0.088597,6.253320167098148,0.7288094835415518,True,174,0.3659697939123028,0.2795736951438787,1.584064065645202,4.824011650620768,0.2795736951438787,1.584064065645202,6.26737507201996,0.3163192072255134,True
A2142-4197,18.1206,19.1016,12.822839736938477,239.8339761,26.895839,239.834,26.8958,3.0,0.0864377,2.24199717513852,6.837668845720421,True,193,4.135579474671149,3.110103311083237,0.9466345907152904,12.057549113563198,3.110103311083237,0.9466345907152904,2.302102717744707,0.2605861181748453,True
A2142-4174,19.0092,19.9427,10.213212013244627,239.7728806,26.8900754,239.773,26.8901,3.0,0.0945095,2.3526406404405917,16.4510161911216,False,195,1.084872069394959,0.7841474719045385,1.9633402413790657,7.881050740542687,0.7841474719045385,1.9633402413790657,2.213229254817101,0.028405917451992647,True
