NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
148,A2142-1251,19.0229,20.1762,11.333240509033203,3.603025197982788,239.4331781,26.1736324,239.433,26.1737,2.0,0.147079
149,A2142-7599,20.8003,21.4004,1.5495548248291016,0.6844401955604553,239.8698725,26.1052405,239.87,26.1053,3.0,0.158612
150,A2142-1093,19.3429,20.5389,9.24804401397705,2.4343087673187256,239.2133438,26.3322693,239.213,26.3323,2.0,0.166201
151,A2142-1085,18.2163,19.1613,16.522233963012695,6.570539951324463,239.1464209,26.2448347,239.146,26.2449,3.0,0.0767364
152,A2142-1167,19.7783,20.572,3.99497389793396,1.4211318492889404,239.2164365,26.148932,239.216,26.1489,2.0,0.0801023
154,A2142-1274,21.4341,22.3175,1.3672796487808228,0.5565388202667236,239.3699298,26.1497387,239.37,26.1497,2.0,0.224059
155,A2142-1178,21.8917,22.4999,0.5772384405136108,0.40578868985176086,239.2083363,26.2491914,239.208,26.2492,0.0,0.445597
157,A2142-1253,19.1354,20.253,9.662986755371094,3.1468465328216553,239.5122727,26.176506,239.512,26.1765,2.0,0.147675
158,A2142-1131,21.5882,22.426,1.6580144166946411,0.5522077083587646,239.1444877,26.2305232,239.144,26.2305,2.0,0.282119
159,A2142-1090,20.1464,21.0033,5.3047380447387695,1.8103176355361938,239.1456102,26.2624032,239.146,26.2624,0.0,0.476203
160,A2142-6012,21.936,22.3749,-0.017260586842894554,-0.005112186539918184,239.1352766,26.170916,239.135,26.171,0.0,0.423253
161,A2142-7473,21.1963,21.9402,1.5627537965774536,0.642249584197998,239.6296438,26.1663181,239.63,26.1663,2.0,0.224034
162,A2142-1163,19.6577,20.3263,5.76384162902832,2.330920696258545,239.3277961,26.2266253,239.328,26.2266,3.0,0.147076
163,A2142-1151,19.4452,20.267,8.340139389038086,3.4378318786621094,239.2713254,26.2860885,239.271,26.2861,2.0,0.294549
164,A2142-1339,19.642,20.5512,5.989974498748779,1.940861463546753,239.5851608,26.0300593,239.585,26.0301,3.0,0.119464
165,A2142-1086,18.2908,19.0287,11.967979431152344,5.652853488922119,239.1937505,26.2855404,239.194,26.2856,3.0,0.0786725
166,A2142-1208,21.0992,22.5444,2.535670042037964,0.7499101758003235,239.3010633,26.2556908,239.301,26.2557,0.0,1.61455
168,A2142-1170,19.8848,20.8543,5.609627723693848,1.7264963388442993,239.4008147,26.269144,239.401,26.2691,3.0,0.215103
169,A2142-6145,18.5887,19.1028,10.115864753723145,5.627514839172363,239.3438508,26.028883,239.344,26.0289,3.0,0.0805931
170,A2142-1328,18.8684,19.3073,2.5057668685913086,1.4919716119766235,239.4547624,26.0361626,239.455,26.0361,0.0,-4.43599e-05
171,A2142-6221,21.4093,22.7317,2.1004323959350586,0.4453917443752289,239.4221336,26.0112058,239.422,26.0112,0.0,0.485095
172,A2142-6227,21.5598,23.093,2.1897172927856445,0.49824175238609314,239.4133679,25.9772247,239.413,25.9773,0.0,3.9455
173,A2142-26,16.9465,17.9446,27.832605361938477,11.775028228759766,239.1024815,25.8757122,239.102,25.8757,3.0,0.0742761
174,A2142-7723,18.0283,19.0205,17.306434631347656,6.991610050201416,240.1476628,26.0635514,240.148,26.0635,2.0,0.088597
175,A2142-6144,19.9841,20.4028,4.822911739349365,2.381533145904541,239.2493623,25.8941255,239.249,25.8941,3.0,0.0724991
176,A2142-6150,19.7972,20.1667,4.949993133544922,3.0823090076446533,239.2931764,25.8727575,239.293,25.8728,3.0,0.0702502
177,A2142-6249,18.7627,19.54,8.102953910827637,2.9460387229919434,239.4371118,25.9288295,239.437,25.9288,3.0,0.0431398
178,A2142-6073,21.2412,21.9765,1.20020592212677,0.470207542181015,239.1121428,26.0419151,239.112,26.0419,3.0,0.310622
179,A2142-6025,19.1093,19.8679,8.20079517364502,3.3958661556243896,239.2089964,26.0587052,239.209,26.0587,3.0,0.15423
180,A2142-6287,21.9039,22.2046,0.42564693093299866,0.347919225692749,239.4511009,25.9601943,239.451,25.9602,3.0,0.0430884
181,A2142-6123,20.9817,21.9398,2.58488130569458,0.7483857274055481,239.242739,26.030356,239.243,26.0303,2.0,0.449218
182,A2142-1347,19.9146,20.8341,4.184693336486816,1.1377019882202148,239.5833258,25.9801783,239.583,25.9802,3.0,0.223118
183,A2142-6146,18.236,19.1531,17.29981231689453,7.267429351806641,239.3179431,25.9759876,239.318,25.976,3.0,0.0711271
184,A2142-6142,18.642,19.5067,8.459395408630371,2.8214149475097656,239.2549666,25.9355247,239.255,25.9355,3.0,0.0719193
185,A2142-1432,19.7001,20.7328,4.682549476623535,1.4377310276031494,239.7703588,25.9954126,239.77,25.9954,3.0,0.193476
186,A2142-6251,18.4645,19.4474,11.060246467590332,2.6224896907806396,239.4327988,25.897023,239.433,25.897,3.0,0.0791437
188,A2142-29,18.5056,19.2391,12.28744125366211,5.440936088562012,239.1543389,25.9002545,239.154,25.9003,3.0,0.0633709
189,A2142-23,19.5025,20.41,7.243257522583008,2.592195987701416,239.1144149,25.923256,239.114,25.9233,3.0,0.0743089
190,A2142-6112,21.1009,22.3848,1.245816707611084,-0.22596102952957153,239.1844591,26.0091347,239.184,26.0091,0.0,0.449767
192,A2142-22,19.1596,20.0289,8.421138763427734,3.0550456047058105,239.0959307,25.9068892,239.096,25.9069,2.0,0.073265
193,A2142-4197,18.1206,19.1016,12.822839736938477,5.089980602264404,239.8339761,26.895839,239.834,26.8958,3.0,0.0864377
194,A2142-8969,20.7691,22.1681,2.460211753845215,0.5524024963378906,240.0042753,26.6647689,240.004,26.6648,3.0,0.366682
195,A2142-4174,19.0092,19.9427,10.213212013244629,3.617288112640381,239.7728806,26.8900754,239.773,26.8901,3.0,0.0945095
196,A2142-8754,19.8956,20.5644,3.4209930896759033,1.457506537437439,239.881285,26.6876629,239.881,26.6877,3.0,0.0897412
197,A2142-9026,18.9603,19.9174,9.967796325683594,3.460296630859375,240.0426794,26.5148298,240.043,26.5149,3.0,0.094273
199,A2142-4321,19.1866,20.2498,6.639837741851807,1.9136706590652466,240.0391726,26.7194961,240.039,26.7195,3.0,0.178564
200,A2142-3028,19.8744,20.8998,1.4266633987426758,0.6123555898666382,240.0574853,26.3067812,240.057,26.3068,0.0,1.46946
201,A2142-3995,20.9408,22.276,2.6427104473114014,0.6527976989746094,240.0346129,26.6842696,240.035,26.6842,3.0,0.516515
202,A2142-8707,18.6834,19.6855,13.570667266845703,4.806673049926758,239.7820424,26.7626213,239.782,26.7626,3.0,0.0860944
203,A2142-4308,19.1474,20.2305,5.551593780517578,1.8148918151855469,239.9831157,26.7620189,239.983,26.762,3.0,0.101895
204,A2142-8714,19.6862,20.2284,4.583552360534668,2.13761568069458,239.8050778,26.7530333,239.805,26.753,3.0,0.102899
206,A2142-9015,19.1708,19.9796,8.517729759216309,3.1617393493652344,240.0214666,26.5300994,240.021,26.5301,2.0,0.0899332
207,A2142-3965,19.3543,20.5057,7.298154354095459,1.5676708221435547,239.8926346,26.7620051,239.893,26.762,0.0,1.5664
209,A2142-4196,18.8785,19.9906,5.050827980041504,1.638733983039856,239.862975,26.9368364,239.863,26.9368,3.0,0.164958
211,A2142-3941,19.9121,20.3233,3.786203622817993,2.013399362564087,239.751075,26.842123,239.751,26.8422,3.0,0.0963661
212,A2142-3972,20.2214,21.1791,2.3232860565185547,0.8622503280639648,239.8215939,26.7960746,239.822,26.7961,0.0,1.5836
213,A2142-8739,19.9974,20.835,5.540243148803711,1.9890384674072266,239.8826354,26.7422867,239.883,26.7423,2.0,0.0905128
214,A2142-8732,17.7409,18.7224,17.980850219726562,7.303860187530518,239.8667652,26.6589415,239.867,26.6589,3.0,0.0878883
215,A2142-4239,21.2156,21.885,0.6761434078216553,0.334005743265152,239.8482801,26.9217564,239.848,26.9218,0.0,1.54391
